ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absent
00167,26,3,2,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,1
00168,13,3,3,2,155,12,14,34,"343,253",95,0,1,2,1,0,0,95,196,25,1
00169,6,3,5,2,289,36,13,33,"343,253",95,0,1,2,1,0,1,90,172,30,1
00170,8,3,5,2,179,22,17,40,"343,253",95,0,2,2,0,1,0,63,170,22,1
00171,28,3,6,2,260,50,11,36,"343,253",95,0,1,4,1,0,0,65,168,23,1
00172,23,3,6,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,0
00173,14,3,2,2,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,1
00174,13,3,3,2,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,1
00175,23,3,4,2,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
00176,11,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
00177,13,3,2,3,179,26,9,30,"343,253",95,0,3,0,0,0,0,56,171,19,0
00178,11,3,3,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
00179,11,3,4,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
00180,13,3,4,3,179,51,18,38,"343,253",95,0,1,0,1,0,0,89,170,31,1
00181,14,3,5,3,279,5,14,39,"343,253",95,0,1,2,1,1,0,68,168,24,1
00182,28,3,6,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,1
00183,14,3,6,3,248,25,14,47,"343,253",95,0,1,2,0,0,1,86,165,32,1
00184,28,3,2,3,225,26,9,28,"343,253",95,0,1,1,0,0,2,69,169,24,0
00185,28,4,4,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,0
00186,23,4,4,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,0
00187,28,4,3,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,0
00188,13,4,4,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,1
00189,23,4,5,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,0
00190,28,4,6,3,225,26,9,28,"326,452",96,0,1,1,0,0,2,69,169,24,1
00191,28,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,1
00192,13,4,4,3,179,51,18,38,"326,452",96,0,1,0,1,0,0,89,170,31,1
00193,23,4,5,3,118,13,18,50,"326,452",96,0,1,1,1,0,0,98,178,31,0
00194,23,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,1
00195,14,4,6,3,246,25,16,41,"326,452",96,0,1,0,1,0,0,67,170,23,1
00196,28,4,6,3,291,31,12,40,"326,452",96,0,1,1,1,0,1,73,171,25,0
00197,28,4,6,3,248,25,14,47,"326,452",96,0,1,2,0,0,1,86,165,32,1
00198,19,4,6,3,260,50,11,36,"326,452",96,0,1,4,1,0,0,65,168,23,1
00199,19,4,3,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,1
00200,12,4,4,3,155,12,14,34,"326,452",96,0,1,2,1,0,0,95,196,25,1
00201,19,4,4,3,378,49,11,36,"326,452",96,0,1,2,0,1,4,65,174,21,1
00202,13,4,5,3,289,36,13,33,"326,452",96,0,1,2,1,0,1,90,172,30,1
00203,7,4,6,3,235,11,14,37,"326,452",96,0,3,1,0,0,1,88,172,29,1
00204,0,4,2,3,235,29,12,48,"326,452",96,1,1,1,0,1,5,88,163,33,0
00205,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,1
00206,28,5,5,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,1
00207,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,0
00208,18,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,1
00209,19,5,3,3,225,26,9,28,"378,884",92,0,1,1,0,0,2,69,169,24,1
00210,7,5,4,3,184,42,7,27,"378,884",92,0,1,0,0,0,0,58,167,21,1
00211,28,5,2,3,155,12,14,34,"378,884",92,0,1,2,1,0,0,95,196,25,1
00212,12,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,0
00213,13,5,4,3,289,36,13,33,"378,884",92,0,1,2,1,0,1,90,172,30,1
00214,0,5,4,3,279,5,14,39,"378,884",92,1,1,2,1,1,0,68,168,24,0
00215,0,5,4,3,330,16,4,28,"378,884",92,1,2,0,0,0,0,84,182,25,0
00216,0,5,4,3,378,49,11,36,"378,884",92,1,1,2,0,1,4,65,174,21,0
00217,0,5,4,3,388,15,9,50,"378,884",92,1,1,0,0,0,0,76,178,24,0
00218,11,5,3,3,179,51,18,38,"378,884",92,0,1,0,1,0,0,89,170,31,0
00219,13,5,4,3,118,13,18,50,"378,884",92,0,1,1,1,0,0,98,178,31,1
00220,22,5,6,3,361,52,3,28,"378,884",92,0,1,1,1,0,4,80,172,27,1
00221,19,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,1
00222,22,6,2,3,361,52,3,28,"377,550",94,0,1,1,1,0,4,80,172,27,1
00223,10,6,3,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,1
00224,23,6,5,3,291,31,12,40,"377,550",94,0,1,1,1,0,1,73,171,25,1
00225,10,6,6,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,1
00226,11,6,2,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,1
00227,23,6,2,3,155,12,14,34,"377,550",94,0,1,2,1,0,0,95,196,25,1
00228,10,6,2,3,246,25,16,41,"377,550",94,0,1,0,1,0,0,67,170,23,1
00229,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,1
00230,13,6,6,3,235,11,14,37,"377,550",94,0,3,1,0,0,1,88,172,29,1
00231,23,6,3,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,0
00232,13,6,4,3,118,13,18,50,"377,550",94,0,1,1,1,0,0,98,178,31,1
00233,22,6,5,3,378,49,11,36,"377,550",94,0,1,2,0,1,4,65,174,21,1
00234,11,6,6,3,179,51,18,38,"377,550",94,0,1,0,1,0,0,89,170,31,1
00235,28,6,2,1,289,48,29,49,"377,550",94,0,1,0,0,0,2,108,172,36,1
00236,28,6,5,1,225,26,9,28,"377,550",94,0,1,1,0,0,2,69,169,24,1
00237,19,7,3,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,1
00238,1,7,4,1,118,13,18,50,"275,312",98,0,1,1,1,0,0,98,178,31,1
00239,5,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,1
00240,26,7,6,1,118,10,10,37,"275,312",98,0,1,0,0,0,0,83,172,28,1
00241,26,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,1
00242,18,7,5,1,179,26,9,30,"275,312",98,0,3,0,0,0,0,56,171,19,1
00243,25,7,6,1,155,12,14,34,"275,312",98,0,1,2,1,0,0,95,196,25,1
00244,1,7,2,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,1
00245,1,7,3,1,330,16,4,28,"275,312",98,0,2,0,0,0,0,84,182,25,1
00246,25,7,2,1,157,27,6,29,"275,312",98,0,1,0,1,1,0,75,185,22,1
00247,22,7,3,1,361,52,3,28,"275,312",98,0,1,1,1,0,4,80,172,27,1
00248,26,7,4,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,1
00249,26,7,5,1,179,51,18,38,"275,312",98,0,1,0,1,0,0,89,170,31,1
00250,19,7,2,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,1
00251,19,7,5,1,289,36,13,33,"275,312",98,0,1,2,1,0,1,90,172,30,1
00252,0,7,5,1,260,50,11,36,"275,312",98,1,1,4,1,0,0,65,168,23,0
00253,19,8,6,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,1
00254,19,8,6,1,157,27,6,29,"265,615",94,0,1,0,1,1,0,75,185,22,1
00255,23,8,2,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,0
00256,18,8,3,1,228,14,16,58,"265,615",94,0,1,2,0,0,1,65,172,22,1
00257,13,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,0
00258,14,8,5,1,300,26,13,43,"265,615",94,0,1,2,1,1,1,77,175,25,1
00259,28,8,6,1,260,50,11,36,"265,615",94,0,1,4,1,0,0,65,168,23,1
00260,23,8,3,1,289,36,13,33,"265,615",94,0,1,2,1,0,1,90,172,30,1
00261,23,8,4,1,248,25,14,47,"265,615",94,0,1,2,0,0,1,86,165,32,0
00262,11,8,5,1,268,11,8,33,"265,615",94,0,2,0,0,0,0,79,178,25,1
00263,23,8,5,1,179,26,9,30,"265,615",94,0,3,0,0,0,0,56,171,19,0
00264,13,8,5,1,118,13,18,50,"265,615",94,0,1,1,1,0,0,98,178,31,1
00265,25,8,2,1,248,25,14,47,"265,615",94,0,1,2,0,0,1,86,165,32,1
00266,23,8,3,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,0
00267,23,8,5,1,118,13,18,50,"265,615",94,0,1,1,1,0,0,98,178,31,0
00268,19,8,5,1,235,11,14,37,"265,615",94,0,3,1,0,0,1,88,172,29,1
00269,8,8,3,1,361,52,3,28,"265,615",94,0,1,1,1,0,4,80,172,27,1
00270,6,8,4,1,184,42,7,27,"265,615",94,0,1,0,0,0,0,58,167,21,1
00271,11,9,2,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,1
00272,23,9,6,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,1
00273,19,9,4,1,289,36,13,33,"294,217",81,0,1,2,1,0,1,90,172,30,1
00274,0,9,5,1,235,20,13,43,"294,217",81,1,1,1,1,0,0,106,167,38,0
00275,9,9,2,1,246,25,16,41,"294,217",81,0,1,0,1,0,0,67,170,23,1
00276,28,9,3,1,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,1
00277,0,9,3,1,231,35,14,39,"294,217",81,1,1,2,1,0,2,100,170,35,0
00278,0,9,3,1,291,50,12,32,"294,217",81,1,1,0,1,0,0,65,169,23,0
00279,13,9,4,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,1
00280,9,9,4,1,246,25,16,41,"294,217",81,0,1,0,1,0,0,67,170,23,1
00281,23,9,5,1,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,0
00282,28,9,6,1,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,1
00283,28,9,6,1,260,50,11,36,"294,217",81,0,1,4,1,0,0,65,168,23,1
00284,26,9,4,4,235,20,13,43,"294,217",81,0,1,1,1,0,0,106,167,38,1
00285,28,9,5,4,118,13,18,50,"294,217",81,0,1,1,1,0,0,98,178,31,0
00286,0,9,5,4,235,20,13,43,"294,217",81,1,1,1,1,0,0,106,167,38,0
00287,28,9,6,4,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,1
00288,7,9,2,4,291,31,12,40,"294,217",81,0,1,1,1,0,1,73,171,25,1
00289,13,9,2,4,179,51,18,38,"294,217",81,0,1,0,1,0,0,89,170,31,1
00290,24,10,2,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,1
00291,26,10,2,4,235,11,14,37,"265,017",88,0,3,1,0,0,1,88,172,29,1
00292,26,10,2,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,1
00293,22,10,6,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,1
00294,0,10,6,4,118,13,18,50,"265,017",88,1,1,1,1,0,0,98,178,31,0
00295,0,10,6,4,248,25,14,47,"265,017",88,1,1,2,0,0,1,86,165,32,0
00296,1,10,2,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,1
00297,7,10,2,4,118,10,10,37,"265,017",88,0,1,0,0,0,0,83,172,28,1
00298,22,10,2,4,369,17,12,31,"265,017",88,0,1,3,1,0,0,70,169,25,1
00299,28,10,4,4,179,51,18,38,"265,017",88,0,1,0,1,0,0,89,170,31,0
